"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","Haydn Malyon","Verified Purchase","Reviewed in Australia on 26 January 2024","4.5 out of 5 stars","        Surprising value and great quality overall.Changing the buds can be a little tricky, but not too hard once you get the hang of it. You sort of have to peel it back and pinch it to slip it on. The variety of buds provided is generous. And luckily, once you find the ones that are most comfortable, you probably won't have to change them again.Usually, in-ear headphones are very uncomfortable for me, but when I switched to the bigger buds provided, I find I can easily wear these for hours with no issue.Just a heads up, they do get very loud very easily.Sound quality is great though! Highly recommended!  "
"2","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","Dmitry Samokhin","Verified Purchase","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars","        Purchased these IEMs for my phone when my Sennheiser CX 350BT Wireless In-Ear Headphones failed. Was not expecting much and at first thought they were OK but sound was a bit thin. I also tried them using my DAP Shanling C3X and again OK. But after about a week of use, they seemed to come alive with clear, transparent warm sound comparable to another pair of my more expensive IEMs. I play classical music from my stored library and from internet radio-ABC Classical. I am very satisfied with the performance from both sources.I plan now to purchase the Blue Tooth cable for more flexibility using these IEMs.I am sure that a balanced cable for my C3X would also be of benefit.Also they fit well in the ears and OK for extended listening.Great seal.One quibble was that difficult to see the L R marks on cable for fitting the buds.Highly recommended for quality sound at a great price.  "
"3","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","Haydn Malyon","Verified Purchase","Reviewed in Australia on 26 January 2024","3.0 out of 5 stars","        Like everything about these IEM'S.  Teamed with Fiio X1 MK2, sound is detailed and rich. Great value for money.  "
"4","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","John Y.","Verified Purchase","Reviewed in Australia on 7 January 2023","5.0 out of 5 stars","        Purchased on sale and got a bargain.  Great sound and very comfortable.  "
"5","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","Harry P","Verified Purchase","Reviewed in Australia on 13 February 2024","5.0 out of 5 stars","        Introduced to KZ via their KZ ZSN Pro Xs under recommendation of Dankpods (youtube), and purchased these ZS10s as a step-up, as the price difference is marginal and considering the ZSN Pro Xs were so good, what could possibly go wrong?The answer: Nothing. They deliver, and they deliver well! Earbuds like ear plugs, meaning you don't need any fancy noise cancelling, as there's just no noise at all. Cable is nice but not braided like the ZSN Pro X model I have, which was a bit disappointing as it has a bit of memory and likes to coil up a bit, but with wear, it straightens out fine.Keep it up KZ!  "
"6","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","George - Brisbane","Verified Purchase","Reviewed in Australia on 29 February 2024","5.0 out of 5 stars","        Very good value for money, sound quality is almost the same as my $200 headphones, great gaming experience  "
"7","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","Markus","Verified Purchase","Reviewed in Australia on 1 February 2024","5.0 out of 5 stars","        Sound is crystal clear and quality of the product is great.  "
"8","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","Fortnite Gamer","Verified Purchase","Reviewed in Australia on 29 January 2024","5.0 out of 5 stars","        For the money - nothing compares. I was using shure 535s on a gig and was given these to try - I didn’t touch the 535s from that point onward and ordered on the spot. Vocal clarity, ability to determine pitch clearly, 5-7k boost, so good. I had my JH Audio 16s stolen and was going to purchase again, no need to now. Very impressed.  "
"9","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","Thilina W.","Verified Purchase","Reviewed in Australia on 6 March 2024","5.0 out of 5 stars","        Only had it for like an hour and it's already better than any headphones I've ever used. Would recommend this for people with not too much money to spend on headphones and also want good headphones.  "
"10","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","Vocalist Melbourne ","Verified Purchase","Reviewed in Australia on 19 January 2024","5.0 out of 5 stars","        My son loves them !  "
"11","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","OMN1","Verified Purchase","Reviewed in Australia on 30 December 2023","5.0 out of 5 stars","        Was looking for a comfortable pair for earphones to listen to music with a higher quality without the need to wear massive headphones. Never knew about IEM's did about ten mins of research and was convinced that these ZS10 PRO is what I needed, I was not disappointed.It takes a bit of fiddling to get the ear plug that works for you, but when you do its heaven. A crisp sound with deep bass (I listen to a lot of edm, rock, metal, screamo and phonk plus the occasional 80's classics) and these produce sounds I've never heard before within songs. 10/10 if you're looking at getting a pair of comfortable earphones what are crazy obvious, you're wearing some which produce great sound, go no further.  "
"12","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","Cosimo Raffaele","Verified Purchase","Reviewed in Australia on 4 January 2024","5.0 out of 5 stars","        Bang for your buck! Sounds AMAZING. Simple not a lot of trash packaging. Very satisfied with the product. However, this is still new, so product durability is unknown. However, the feeling to the touch is definitely expensive.  "
"13","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  ","Cytokyn","Verified Purchase","Reviewed in Australia on 26 January 2024","5.0 out of 5 stars","        For a reasonable price you get top quality.  "
