"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Rendy","Verified Purchase","Reviewed in Australia on 20 October 2021","4.3 out of 5 stars","        this product is so good for daily use  "
"2","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","antonio","Verified Purchase","Reviewed in Spain on 29 February 2024","5.0 out of 5 stars","      El sonido muy bueno, también cómodos pesan poco. Tres cuartos de hora ensayando y perfectos. Y el precio perfecto para todo el mundo,  perfecto.    "
"3","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","antonio","Verified Purchase","Reviewed in Spain on 7 March 2024","5.0 out of 5 stars","      Son muy cómodos y se adaptan bien a la oreja. Se escucha muy bien.    "
"4","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","RUTH C.B.","Verified Purchase","Reviewed in Belgium on 15 December 2023","5.0 out of 5 stars","      prima materiele    "
"5","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Michel","Verified Purchase","Reviewed in Canada on 7 May 2022","5.0 out of 5 stars","        This is the second pair that I've purchased because I was really happy with my first pair and wanted a set for home and the office.First things first though: these are not noise cancelling. I would define it more as noise isolating as they seal so well into my ears that it's like I'm wearing a decent pair of earplugs.  I often wear them on the bus and I don't really notice the engine sounds or other passengers talking. The sound quality is wonderful for music and for audiobooks/podcasts. I haven't encountered a lot of distortion on higher volumes - although I do tend to not have these on full blast as I don't want to damage my hearing and I find a higher volume is often not required in my use case.These also don't have the in your face sort of bass that a lot of headphones have, which is a relief for me as I've always found that gimmicky and annoying and frankly ruined the listening experience for me in the past. But with these the sound levels are pretty even across the board, which is to be expected as these are are IEMs.  You get to hear the music more or less as intended. And I'm not sure if I'm imagining it or not, but I think percussion comes through much clearer then other headphones I've used.All in all, these are a solid pair of earphones for a really reasonable price if you take into account how much IEM's can cost.  "
"6","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Amazon Customer","Verified Purchase","Reviewed in India on 12 November 2023","5.0 out of 5 stars","        I never got what the audiophile hype was all about, then I get these earphones and its like a new world's opened up for me.10/10 amazing sound quality8/10 build quality, I'm just a little worried about the wire it feels too delicate10/10 value for money  "
"7","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Aaryan","Verified Purchase","Reviewed in Canada on 11 September 2021","5.0 out of 5 stars","                                                                                                                                                                The media could not be loaded.                                                                                    This is my first pair of IEMs. I’mNo audiophile, so I went to YouTube to test these. Search for “ULTIMATE HEADPHONE TEST !!!” To look for the video. I tested at 35% volume. For these, the Bass went down to 20Hz, Treble went as high as 16,000Hz and the rest was also reflective of high quality earphones. Noise isolation is also very good. I’d definitely recommend these earphones for watching videos on your iPad/laptop and even for gaming. I tested on the PS5, these sounded brilliant. I even tried this as sleeping buds and they were comfortable. They are definitely a bit heavy on the bass and may not be 100% accurate, but if you’re looking for professional grade for $25, your expectations are flawed.The only thing left to see if how long these will last. Hopefully they do.  "
"8","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Aaryan","Verified Purchase","Reviewed in the United Kingdom on 25 March 2022","5.0 out of 5 stars","        love these, definetly recommned. they have a decent microphone and everything.Sound quality is amazing and it blew me away the first time i heard it. i put 4 stars instead of 5 for sound quality because after about a month of use i noticed the left earphone was slighlty louder and hurts my ears slightly more when somethings played at a high volume and im the type of person to be really annoyed by small things like that. but i still love these earphones and would buy them again  "
"9","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Loonie Logic","Verified Purchase","Reviewed in Mexico on 22 January 2024","5.0 out of 5 stars","      Buen sonido, graves y agudos decentes, el cable es de baja calidad pero se puede reemplazar. Ligeros y cómodos.    "
"10","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Loonie Logic","Verified Purchase","Reviewed in the United Kingdom on 2 June 2023","5.0 out of 5 stars","        I have no experience of IEMs, but I have a lot of experience of ""standard"" headphones and earbuds. I'm always experimenting because I never seem to find a product that I'm totally happy with.For the money these KB EAR seem very good. The sound quality is inoressive, and they seem to stay in my ears quite well.I can't comment on thir longevity yet as I've only been using them about a month, but they have survived so far, and I use them a lot.Others have commented the cord is prone to fankling, which is true. I've found, if when taking them off, if you can remember to move the little slider as far as it will go towards the ear hooks, this prevents fankling.I'm thinking in time I might want to try one of the ""pro"" version IEMs just to compare SQ, but I'm happy with these for the time being.  "
"11","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Emma","Verified Purchase","Reviewed in the United States on 8 March 2021","5.0 out of 5 stars","        Packaging - The pakaging is quite minimal. You get the KS1's themselves, the cable and three pairs of tips (S, M, L) in a small KZ style cardboard box. I really appreciate the minimalistic packaging. Less packaging material = Less waste. Thats always a plus in my book.Build - A Plastic body up until the sound nozzle, which is made of metal. Although they are plastic they retain a premium look and feel. The cable build and quality is in-line with other IEMs in this price point. It has a resemblance to that of the stock BL03/BL01 cable but with a slightly more robust Y split and a metal L-shape 3.5mm termination. Still I'd opt for a more robust upgrade cable.Fit - Personally I have trouble with most, if not all provided silicone tips and unfortunately these weren't the exception. This is more of a me problem and I don't fault KBear or any other brands for that matter. I opted to use some extra foam tips that I had and achieved a proper seal. Also I chose to use my KBear upgrade cable that I use on my Tri Starsea's after my initial liten with the stock cable. There's nothing wrong with the stock cable and you can do without upgrading it but personally I really like the feel of KBear's 16 core silver plated upgrade cable and use it whenever I have the chance. Once in my ears they just sorta disappear. With the plaatic build you get the benefit of a lighter housing. Of course all ears are shaped different so your mileage may vary.Sound - Simply put these are fun. You get a very well done V-shape  sound signature that slightly favors bass.Bass - Bass is nice and tight. Not exactly a ""basshead"" IEM but I cant imagine getting closer at this price point. it definitely offers a nice thump.Mids- There is some mild bass bleeding into the mids so vocals(specifically male) tend to sound a little recessed but only on more throaty, deeper tones. Female vocals sound natural and non-offensive. The mids, while laid back are still very much present and well articulated.Highs - Highs are not as fatiguing as other V-shape tuned IEMs. For comparison, my Jade Audio EA3's have a similar sound to the KS1's but the highs on the EA3 can get peircing to the point of having to take a break every 30-40 minutes. These do not suffer from that problem.Soundstage/Separation - A more in your head feeling soundstage that extended ear to ear. Not as wide as other offerings for example the Blon BL01 is a little bit wider but the KS1's just do everything else better in my opinion. Instrument separation is good but with the soundstage being narrow as it is, it can be a little more challenging to pinpoint every instrument in a given track. With that being said vocals are upfront and center.Overall the KS1's may very well be the best 20 dollars you can spend on a pair of IEMs so far. These are going to be my new recommendation to freinds and family that may be looking for an intro into better, fun sounding gear.  "
"12","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Fernando","Verified Purchase","Reviewed in Italy on 15 February 2024","5.0 out of 5 stars","      Parto subito col dire che non sono un esperto di questi dispositivi In Ear, anzi, l’ho sempre odiati perché mi cadevano dalle orecchie.Ho trovato questi auricolari per caso, e data la mia montatura di occhiali piuttosto spessa, le classiche cuffie risultavano scomode e doloranti, allora, ho deciso di effettuare l’acquisto:Super minimal ma curato il packaging, all’inizio, sembra una scatola un po’ cinese ma non è affatto male.Una volta aperto il tutto ti trovi questi auricolari in bella vista, sono provvisti di cavo (che in caso di rottura oppure sostituzione puoi cambiare staccandolo semplicemente), e in più ci sono due set di gommini, uno di colore nero a tre misure e uno trasparente sempre con tre misure diverse.Se devo essere sincero, a primo impatto, mi sono sembrate estremamente fragili, infatti, per montare i gommini, mi ci sono voluti diversi minuti. Il cavo invece, l’ho trovato estremamente corto, ma cambiandolo o comprando una prolunga jack 3.5mm si risolve il problema.La qualità audio è ottima, ci sono i bassi e gli alti, regolati al punto giusto. Non so se sono FLAT oppure hanno un po’ di equalizzazione interna, ma dubito, dunque meglio ancora, potrete utilizzare questi auricolari sia in studio che per altre attività.Sottolineo e concludo dicendo che l’ho acquistate per il gaming e per utilizzare il computer in maniera generale, passando dall’ascolto di musica a quattro chiacchiere con gli amici. Per il prezzo, l’estetica e la qualità, vale la pena prenderle!    "
"13","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Amazon Customer","Verified Purchase","Reviewed in the United Kingdom on 3 December 2022","5.0 out of 5 stars","        KBEAR is a great brand of earphones, they sit nicely in your ears, have great sound quality, and a good mid-bass boost with very punchy clear vocals and basically no sound leak  "
"14","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Paola Ciccarelli","Verified Purchase","Reviewed in France on 12 September 2023","5.0 out of 5 stars","      Le son est top , les basses bien tenues , rien à envier des grandes marquesJe conseille pour faire des génériques    "
"15","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Paola Ciccarelli","Verified Purchase","Reviewed in Mexico on 14 January 2024","4.3 out of 5 stars","      El sonido es perfecto e ideal para todo.    "
"16","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Angus Hutcheson","Verified Purchase","Reviewed in the United Kingdom on 21 June 2021","5.0 out of 5 stars","        Comfortable, easy to adjust, excellent sound quality.  "
"17","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Client d'Amazon","Verified Purchase","Reviewed in Germany on 4 January 2022","5.0 out of 5 stars","      Habe mir die KBEAR KS1 ohne Mic aufgrund der Empfehlung von Dankpods bestellt. Sind heute gekommen, hier die ersten Eindrücke. Sollten sich weitere Eindrücke einstellen, ergänze ich diese hier.Gute Verpackung, die eigentlichen Kopfhörer kommen da nur unwillig raus. Weiterhin finden sich in Packung dass Kabel, 2 zusätzliche Silikon-Stopfen in verschiedenen Größen und ein kleines booklet mit Warnungen, also alles wie üblich. Kabel und Kopfhörer sind glücklicherweise jeweils mit ""links (L)"" und ""rechts (R)"" beschriftet.Passform: passt bei mir sehr gut, obwohl die Ohrteile recht groß aussehen lassen sie sich gut auch länger tragen. Die sitzen bei mir sehr fest, keine Gefahr, dass sie rausfallen.Klang: wie von Dankpods geschildert und demonstriert transparent, präzise, neutral. Schöne Stereobreite. Wie Monitore. Dem gegenüber steht die KBEAR-Beschreibung mit dem Bass. Das ist Ansichtssache. Es gibt keine Bassbetonung. Der Klang ist wie abgemischt, keine Verzerrung oder billige Bassanhebung. Oxygène von Jarre, Blunderbuss von Jack White,  Axiom von Archive quergehört, passt alles soweit. Wer einen übertrieben Bass-betonten Klang sucht, ist hier falsch.Metal muss ich noch probehören und etwas Jazz auch noch. Wird hier noch ergänzt.Für den Preis fantastischer Klang, Empfehlung für jeden, der neutralen Klang mag.Ergänzung 07.01.22: weiter getestet. Auch Jazz und Rock/Metal hören sich gut an. Getestet mit E.S.T., Cæcilie Norby, Dio/Rainbow, Epica, Arch Enemy.Eine Sache ist mir aufgefallen: die KS1 brauchen  Umpf auf der Leitung. Am Notebook Ausgang hören sie sich dünn und nicht sehr differenziert an. Am Handy via USB 3 an DAC ist es ein komplett anderes Hörerlebnis. Auch wenn es sich um einen simplen inline-DAC handelt, liefert er offensichtlich deutlich mehr Power. Hinter dem DAC muss eben noch ein Verstärker sein. Hab jetzt leider keinen richtigen Kopfhörer-Verstärker, um das gegenzutesten, aber es ist mE offensichtlich.    "
"18","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  ","Luis Jacob Mejía Olbera","Verified Purchase","Reviewed in Italy on 14 February 2024","5.0 out of 5 stars","      Ottimo suono, prezzo basso!Resa suono perfetto, isolamento dai suoni esterni pure.Bellissimo lo stile e il colore, nel mio caso il verde. Incluse ho trovato sia le cuffie di copertura di colore bianco che nero 6 coppie per 3 tipi di dimensioni. In generale sono molto soddisfatto.Il prodotto mi ha sorpreso    "
